Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
AE-GAN,Logistic Regression,0,0.46701846965699206,0.1475,0.22419252691576946,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,1,0.12446351931330472,0.145,0.13394919168591224,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,2,0.109375,0.06965174129353234,0.0851063829787234,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,3,0.072,0.1791044776119403,0.10271041369472182,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,4,0.1206896551724138,0.06965174129353234,0.08832807570977919,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,5,0.16,0.15920398009950248,0.1596009975062344,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,6,0.10273972602739725,0.07462686567164178,0.08645533141210375,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,7,0.14042553191489363,0.16417910447761194,0.15137614678899083,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,8,0.08533916849015317,0.29177057356608477,0.13205417607223477,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,9,0.08823529411764706,0.05970149253731343,0.0712166172106825,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,10,0.10119047619047619,0.0845771144278607,0.0921409214092141,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,11,0.10227272727272728,0.1791044776119403,0.1301989150090416,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,12,0.17391304347826086,0.11940298507462686,0.1415929203539823,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,13,0.1597222222222222,0.12105263157894737,0.1377245508982036,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,14,0.1,0.14925373134328357,0.11976047904191617,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,15,0.16751269035532995,0.16417910447761194,0.1658291457286432,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,16,0.0,0.0,0.0,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,17,0.07692307692307693,0.07142857142857142,0.07407407407407407,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,18,0.1016949152542373,0.208955223880597,0.13680781758957655,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,19,0.175,0.17412935323383086,0.1745635910224439,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,20,0.15018315018315018,0.20398009950248755,0.1729957805907173,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,21,0.14678899082568808,0.07960199004975124,0.1032258064516129,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,22,0.016339869281045753,0.13157894736842105,0.029069767441860465,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,23,0.1,0.010869565217391304,0.0196078431372549,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,24,0.0,0.0,0.0,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,25,0.0,0.0,0.0,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,26,0.14285714285714285,0.07407407407407407,0.0975609756097561,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,27,0.0273972602739726,0.25,0.04938271604938271,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,28,0.0,0.0,0.0,0.14132825098959098,0.11275259486068515,
AE-GAN,Logistic Regression,29,0.0,0.0,0.0,0.14132825098959098,0.11275259486068515,
AE-GAN,Random Forest,0,0.4088256746900073,0.46708333333333335,0.43601711396343834,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,1,0.205607476635514,0.11,0.14332247557003258,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,2,0.1043956043956044,0.1890547263681592,0.13451327433628318,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,3,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,4,0.14204545454545456,0.12437810945273632,0.13262599469496023,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,5,0.16,0.15920398009950248,0.1596009975062344,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,6,0.0967741935483871,0.07462686567164178,0.08426966292134831,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,8,0.14133333333333334,0.13216957605985039,0.13659793814432988,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,9,0.09042553191489362,0.0845771144278607,0.08740359897172237,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,10,0.0641399416909621,0.10945273631840796,0.08088235294117647,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,11,0.08333333333333333,0.1890547263681592,0.1156773211567732,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,12,0.04411764705882353,0.029850746268656716,0.03560830860534125,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,13,0.1619718309859155,0.12105263157894737,0.13855421686746988,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,14,0.04285714285714286,0.014925373134328358,0.02214022140221402,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,16,0.12857142857142856,0.13432835820895522,0.13138686131386862,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,17,0.06666666666666667,0.07142857142857142,0.06896551724137931,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,18,0.1267605633802817,0.04477611940298507,0.0661764705882353,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,21,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,22,0.0,0.0,0.0,0.23911449934027268,0.09919941453333657,
AE-GAN,Random Forest,23,0.13513513513513514,0.05434782608695652,0.07751937984496124,0.23911449934027268,0.09919941453333657,
