Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
CGAN,Logistic Regression,0,0.46419098143236076,0.14583333333333334,0.2219403931515536,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,1,0.125,0.145,0.13425925925925927,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,2,0.136,0.0845771144278607,0.10429447852760736,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,3,0.06904231625835189,0.15422885572139303,0.09538461538461539,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,4,0.11666666666666667,0.06965174129353234,0.08722741433021806,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,5,0.16,0.15920398009950248,0.1596009975062344,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,6,0.10638297872340426,0.07462686567164178,0.08771929824561403,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,7,0.14102564102564102,0.16417910447761194,0.15172413793103448,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,8,0.08396946564885496,0.30174563591022446,0.13137893593919653,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,9,0.08823529411764706,0.05970149253731343,0.0712166172106825,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,10,0.10588235294117647,0.08955223880597014,0.09703504043126684,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,11,0.1,0.17412935323383086,0.12704174228675136,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,12,0.17293233082706766,0.11442786069651742,0.1377245508982036,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,13,0.16666666666666666,0.12105263157894737,0.1402439024390244,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,14,0.09621993127147767,0.13930348258706468,0.11382113821138211,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,15,0.1683673469387755,0.16417910447761194,0.16624685138539042,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,16,0.0,0.0,0.0,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,17,0.07692307692307693,0.07142857142857142,0.07407407407407407,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,18,0.10144927536231885,0.208955223880597,0.13658536585365855,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,20,0.14855072463768115,0.20398009950248755,0.1719077568134172,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,21,0.14545454545454545,0.07960199004975124,0.10289389067524116,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,22,0.01639344262295082,0.13157894736842105,0.029154518950437316,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,23,0.14285714285714285,0.010869565217391304,0.020202020202020204,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,24,0.0,0.0,0.0,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,25,0.0,0.0,0.0,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,26,0.11764705882352941,0.07407407407407407,0.09090909090909091,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,27,0.02857142857142857,0.25,0.05128205128205128,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,28,0.0,0.0,0.0,0.1405952206421346,0.11220035398691602,
CGAN,Logistic Regression,29,0.0,0.0,0.0,0.1405952206421346,0.11220035398691602,
CGAN,Random Forest,0,0.3940917661847894,0.5225,0.4493013256897169,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,1,0.20909090909090908,0.115,0.14838709677419354,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,2,0.1162079510703364,0.1890547263681592,0.14393939393939395,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,3,0.0,0.0,0.0,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,4,0.14814814814814814,0.07960199004975124,0.10355987055016182,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,5,0.16,0.15920398009950248,0.1596009975062344,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,6,0.0784313725490196,0.05970149253731343,0.06779661016949153,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,8,0.16104868913857678,0.10723192019950124,0.12874251497005987,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,9,0.09340659340659341,0.0845771144278607,0.08877284595300261,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,10,0.06622516556291391,0.09950248756218906,0.07952286282306163,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,11,0.11261261261261261,0.12437810945273632,0.1182033096926714,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,12,0.04326923076923077,0.04477611940298507,0.044009779951100246,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,13,0.16428571428571428,0.12105263157894737,0.1393939393939394,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,14,0.06779661016949153,0.03980099502487562,0.050156739811912224,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,16,0.12639405204460966,0.1691542288557214,0.14468085106382977,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.25377510628940037,0.09541954191784593,
CGAN,Random Forest,18,0.14285714285714285,0.009950248756218905,0.018604651162790697,0.25377510628940037,0.09541954191784593,
