Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
DCGAN,Logistic Regression,0,0.46419098143236076,0.14583333333333334,0.2219403931515536,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,1,0.125,0.145,0.13425925925925927,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,2,0.140625,0.08955223880597014,0.1094224924012158,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,3,0.07006369426751592,0.16417910447761194,0.09821428571428571,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,4,0.11666666666666667,0.06965174129353234,0.08722741433021806,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,5,0.16,0.15920398009950248,0.1596009975062344,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,6,0.10204081632653061,0.07462686567164178,0.08620689655172414,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,7,0.14468085106382977,0.1691542288557214,0.1559633027522936,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,8,0.08498583569405099,0.29925187032418954,0.13237727523441808,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,9,0.08888888888888889,0.05970149253731343,0.07142857142857142,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,10,0.09826589595375723,0.0845771144278607,0.09090909090909091,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,11,0.1044776119402985,0.17412935323383086,0.13059701492537312,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,12,0.17037037037037037,0.11442786069651742,0.13690476190476192,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,13,0.16058394160583941,0.11578947368421053,0.1345565749235474,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,14,0.09797297297297297,0.14427860696517414,0.11670020120724346,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,15,0.1717171717171717,0.1691542288557214,0.17042606516290726,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,16,0.0,0.0,0.0,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,18,0.10218978102189781,0.208955223880597,0.13725490196078433,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,20,0.14909090909090908,0.20398009950248755,0.1722689075630252,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,21,0.14414414414414414,0.07960199004975124,0.10256410256410256,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,22,0.016339869281045753,0.13157894736842105,0.029069767441860465,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,23,0.1111111111111111,0.010869565217391304,0.019801980198019802,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,24,0.0,0.0,0.0,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,25,0.0,0.0,0.0,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,26,0.1111111111111111,0.07407407407407407,0.08888888888888889,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,27,0.030303030303030304,0.25,0.05405405405405406,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,28,0.0,0.0,0.0,0.14103503885060842,0.11277097726724186,
DCGAN,Logistic Regression,29,0.0,0.0,0.0,0.14103503885060842,0.11277097726724186,
DCGAN,Random Forest,0,0.389171511627907,0.44625,0.4157608695652174,0.233983286908078,0.10170481128760758,
DCGAN,Random Forest,1,0.20952380952380953,0.11,0.14426229508196722,0.233983286908078,0.10170481128760758,
