Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
GAN,Logistic Regression,0,0.4656084656084656,0.14666666666666667,0.22306717363751585,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,1,0.1277533039647577,0.145,0.1358313817330211,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,2,0.12307692307692308,0.07960199004975124,0.09667673716012085,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,3,0.07142857142857142,0.16417910447761194,0.09954751131221719,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,4,0.11864406779661017,0.06965174129353234,0.0877742946708464,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,5,0.16,0.15920398009950248,0.1596009975062344,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,6,0.10273972602739725,0.07462686567164178,0.08645533141210375,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,7,0.14102564102564102,0.16417910447761194,0.15172413793103448,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,8,0.08414464534075104,0.30174563591022446,0.13159325720500273,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,9,0.08759124087591241,0.05970149253731343,0.07100591715976332,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,10,0.09883720930232558,0.0845771144278607,0.09115281501340483,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,11,0.1,0.17412935323383086,0.12704174228675136,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,12,0.16911764705882354,0.11442786069651742,0.13649851632047477,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,13,0.16428571428571428,0.12105263157894737,0.1393939393939394,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,14,0.1003584229390681,0.13930348258706468,0.11666666666666667,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,15,0.16751269035532995,0.16417910447761194,0.1658291457286432,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,16,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,17,0.07692307692307693,0.07142857142857142,0.07407407407407407,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,18,0.10194174757281553,0.208955223880597,0.1370309951060359,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,20,0.14963503649635038,0.20398009950248755,0.1726315789473684,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,21,0.14414414414414414,0.07960199004975124,0.10256410256410256,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,22,0.01597444089456869,0.13157894736842105,0.02849002849002849,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,23,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,24,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,25,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,26,0.09523809523809523,0.07407407407407407,0.08333333333333333,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,27,0.03225806451612903,0.25,0.05714285714285714,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,28,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Logistic Regression,29,0.0,0.0,0.0,0.14074182671162586,0.11186581292411409,
GAN,Random Forest,0,0.39946380697050937,0.4345833333333333,0.4162841748154061,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,1,0.2222222222222222,0.11,0.14715719063545152,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,2,0.12540192926045016,0.19402985074626866,0.15234375,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,3,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,4,0.13901345291479822,0.15422885572139303,0.14622641509433962,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,5,0.16,0.15920398009950248,0.1596009975062344,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,6,0.09848484848484848,0.06467661691542288,0.07807807807807808,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,7,0.15196078431372548,0.15422885572139303,0.15308641975308643,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,8,0.1814814814814815,0.12219451371571072,0.14605067064083457,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,9,0.08900523560209424,0.0845771144278607,0.08673469387755102,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,10,0.07754010695187166,0.14427860696517414,0.10086956521739131,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,11,0.07038123167155426,0.11940298507462686,0.08856088560885608,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,12,0.049079754601226995,0.03980099502487562,0.04395604395604396,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,13,0.13953488372093023,0.12631578947368421,0.13259668508287292,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,14,0.02617801047120419,0.024875621890547265,0.025510204081632654,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,16,0.11490683229813664,0.18407960199004975,0.14149139579349904,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,17,0.0625,0.07142857142857142,0.06666666666666667,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,18,0.11764705882352941,0.03980099502487562,0.05947955390334572,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,20,0.19900497512437812,0.19900497512437812,0.19900497512437812,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,21,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,22,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,23,0.05426356589147287,0.07608695652173914,0.06334841628959276,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,24,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,25,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,26,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,27,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,28,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Random Forest,29,0.0,0.0,0.0,0.22914528661486586,0.10050786767148935,
GAN,Gradient Boosting,0,0.4356223175965665,0.16916666666666666,0.24369747899159663,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,1,0.19444444444444445,0.105,0.13636363636363635,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,2,0.125,0.1890547263681592,0.1504950495049505,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,3,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,4,0.09523809523809523,0.06965174129353234,0.08045977011494253,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,5,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,6,0.10236220472440945,0.06467661691542288,0.07926829268292683,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,7,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,8,0.17857142857142858,0.08728179551122195,0.11725293132328309,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,9,0.0845771144278607,0.0845771144278607,0.0845771144278607,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,10,0.06880733944954129,0.07462686567164178,0.07159904534606205,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,11,0.038461538461538464,0.004975124378109453,0.00881057268722467,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,12,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,13,0.032582322357019064,0.49473684210526314,0.061138211382113825,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,14,0.0311284046692607,0.03980099502487562,0.034934497816593885,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,15,0.1691542288557214,0.1691542288557214,0.1691542288557214,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,16,0.15422885572139303,0.15422885572139303,0.15422885572139303,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,17,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,18,0.15979381443298968,0.15422885572139303,0.1569620253164557,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,19,0.17412935323383086,0.17412935323383086,0.17412935323383086,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,20,0.1958762886597938,0.1890547263681592,0.19240506329113924,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,21,0.16304347826086957,0.14925373134328357,0.15584415584415584,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,22,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,23,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,24,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,25,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,26,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,27,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,28,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,Gradient Boosting,29,0.0,0.0,0.0,0.1309192200557103,0.08664185555854997,
GAN,SVM,0,0.4518229166666667,0.2891666666666667,0.35264227642276424,0.20099692127254068,0.13305093636318097,
GAN,SVM,1,0.19834710743801653,0.12,0.14953271028037382,0.20099692127254068,0.13305093636318097,
GAN,SVM,2,0.12631578947368421,0.1791044776119403,0.14814814814814814,0.20099692127254068,0.13305093636318097,
GAN,SVM,3,0.12552301255230125,0.14925373134328357,0.13636363636363635,0.20099692127254068,0.13305093636318097,
GAN,SVM,4,0.12,0.14925373134328357,0.13303769401330376,0.20099692127254068,0.13305093636318097,
GAN,SVM,5,0.16161616161616163,0.15920398009950248,0.16040100250626566,0.20099692127254068,0.13305093636318097,
GAN,SVM,6,0.08441558441558442,0.12935323383084577,0.10216110019646366,0.20099692127254068,0.13305093636318097,
GAN,SVM,7,0.1477832512315271,0.14925373134328357,0.1485148514851485,0.20099692127254068,0.13305093636318097,
GAN,SVM,8,0.108,0.26932668329177056,0.15417558886509636,0.20099692127254068,0.13305093636318097,
GAN,SVM,9,0.08542713567839195,0.0845771144278607,0.085,0.20099692127254068,0.13305093636318097,
GAN,SVM,10,0.11,0.10945273631840796,0.10972568578553615,0.20099692127254068,0.13305093636318097,
GAN,SVM,11,0.16535433070866143,0.208955223880597,0.18461538461538463,0.20099692127254068,0.13305093636318097,
GAN,SVM,12,0.1746031746031746,0.05472636815920398,0.08333333333333333,0.20099692127254068,0.13305093636318097,
GAN,SVM,13,0.12643678160919541,0.11578947368421053,0.12087912087912088,0.20099692127254068,0.13305093636318097,
GAN,SVM,14,0.11462450592885376,0.14427860696517414,0.1277533039647577,0.20099692127254068,0.13305093636318097,
GAN,SVM,15,0.17,0.1691542288557214,0.16957605985037408,0.20099692127254068,0.13305093636318097,
