Method,Model,Class,Precision,Recall,F1-Score,Accuracy,Balanced Accuracy,ROC-AUC
SMOTE,Logistic Regression,0,0.890279114533205,0.3854166666666667,0.5379470776388485,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,1,0.7608695652173914,0.8706467661691543,0.8120649651972158,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,2,0.5274725274725275,0.47761194029850745,0.5013054830287206,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,3,0.3079416531604538,0.945273631840796,0.46454767726161367,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,4,0.7956989247311828,0.736318407960199,0.7648578811369509,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,5,1.0,1.0,1.0,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,6,0.435,0.43283582089552236,0.4339152119700748,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,7,0.9801980198019802,0.9850746268656716,0.9826302729528535,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,8,0.22333333333333333,0.3341645885286783,0.2677322677322677,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,9,0.9941860465116279,0.8507462686567164,0.9168900804289544,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,10,0.2716049382716049,0.43781094527363185,0.3352380952380952,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,11,0.783410138248848,0.845771144278607,0.8133971291866029,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,12,0.5118483412322274,0.5373134328358209,0.5242718446601942,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,13,0.4868913857677903,0.6842105263157895,0.5689277899343544,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,14,0.47513812154696133,0.8557213930348259,0.61101243339254,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,15,1.0,1.0,1.0,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,16,0.9851485148514851,0.9900497512437811,0.9875930521091811,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,17,1.0,0.9285714285714286,0.9629629629629629,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,18,0.9852941176470589,1.0,0.9925925925925926,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,19,1.0,1.0,1.0,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,20,0.9004524886877828,0.9900497512437811,0.943127962085308,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,21,0.9890710382513661,0.900497512437811,0.9427083333333334,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,22,0.5428571428571428,1.0,0.7037037037037037,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,23,0.05454545454545454,0.06521739130434782,0.0594059405940594,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,24,0.0,0.0,0.0,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,25,0.02702702702702703,0.18181818181818182,0.047058823529411764,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,26,0.10344827586206896,0.2222222222222222,0.1411764705882353,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,27,0.12903225806451613,0.5,0.20512820512820512,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,28,0.009900990099009901,0.3333333333333333,0.019230769230769232,0.6226912928759895,0.6608003021709601,
SMOTE,Logistic Regression,29,0.022222222222222223,0.3333333333333333,0.041666666666666664,0.6226912928759895,0.6608003021709601,
SMOTE,Random Forest,0,0.9920201595968081,0.9841666666666666,0.9880778079899603,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,1,0.9796954314720813,0.9601990049751243,0.9698492462311558,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,2,0.9609756097560975,0.9800995024875622,0.9704433497536946,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,3,1.0,0.9850746268656716,0.9924812030075187,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,4,1.0,0.9552238805970149,0.9770992366412213,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,5,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,6,0.8056872037914692,0.845771144278607,0.8252427184466019,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,7,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,8,0.8906605922551253,0.9750623441396509,0.930952380952381,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,9,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,10,0.8578947368421053,0.8109452736318408,0.8337595907928389,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,11,1.0,0.9900497512437811,0.995,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,12,0.9798994974874372,0.9701492537313433,0.975,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,13,0.9226804123711341,0.9421052631578948,0.9322916666666666,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,14,0.923469387755102,0.900497512437811,0.9118387909319899,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,15,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,16,1.0,0.9950248756218906,0.9975062344139651,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,17,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
SMOTE,Random Forest,18,1.0,1.0,1.0,0.969803576663735,0.9229466662810321,
